The contents of the file /rppg-training-model/rppg-training-model/data/splits/train.csv will be as follows:

heart_rate,signal_quality,subject_id,timestamp
75,85,41,2023-01-01 12:00:00
78,90,41,2023-01-01 12:00:01
80,88,41,2023-01-01 12:00:02
76,87,41,2023-01-01 12:00:03
74,89,41,2023-01-01 12:00:04
82,92,42,2023-01-02 12:00:00
79,91,42,2023-01-02 12:00:01
81,90,42,2023-01-02 12:00:02
77,86,42,2023-01-02 12:00:03
75,85,42,2023-01-02 12:00:04
73,84,46,2023-01-03 12:00:00
76,88,46,2023-01-03 12:00:01
78,90,46,2023-01-03 12:00:02
74,87,46,2023-01-03 12:00:03
72,85,46,2023-01-03 12:00:04
